acm_id,Full.Name,Home.Address,School.Address,School,Commute.Time,Mode,Stutus
1,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,1075,driving,OK
1,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,929,driving,OK
1,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2839,driving,OK
1,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,1915,driving,OK
1,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,703,driving,OK
1,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,2066,driving,OK
1,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,1523,driving,OK
1,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,319,driving,OK
1,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,2223,driving,OK
1,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,708,driving,OK
1,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,1312,driving,OK
1,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,2352,driving,OK
1,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,3022,driving,OK
1,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,786,driving,OK
1,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,2144,driving,OK
1,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,3341,driving,OK
1,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,523,driving,OK
1,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,1503,driving,OK
1,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,2894,driving,OK
1,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,944,driving,OK
1,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,790,driving,OK
1,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,765,driving,OK
1,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,3393,driving,OK
1,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,2822,driving,OK
1,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,986,driving,OK
1,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,766,driving,OK
2,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,2990,driving,OK
2,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,2687,driving,OK
2,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,539,driving,OK
2,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,1219,driving,OK
2,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,2773,driving,OK
2,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,1211,driving,OK
2,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,3707,driving,OK
2,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,2557,driving,OK
2,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,1228,driving,OK
2,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,2282,driving,OK
2,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,2678,driving,OK
2,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,1135,driving,OK
2,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,315,driving,OK
2,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,2430,driving,OK
2,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,1306,driving,OK
2,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,981,driving,OK
2,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,2643,driving,OK
2,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,3028,driving,OK
2,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,364,driving,OK
2,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,3034,driving,OK
2,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,2663,driving,OK
2,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,2858,driving,OK
2,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,1398,driving,OK
2,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,3226,driving,OK
2,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,2375,driving,OK
2,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,2051,driving,OK
3,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,1272,driving,OK
3,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,1050,driving,OK
3,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2815,driving,OK
3,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,1835,driving,OK
3,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,955,driving,OK
3,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,1990,driving,OK
3,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,1904,driving,OK
3,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,586,driving,OK
3,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,2147,driving,OK
3,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,586,driving,OK
3,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,1280,driving,OK
3,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,2345,driving,OK
3,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,2993,driving,OK
3,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,799,driving,OK
3,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,2079,driving,OK
3,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,3360,driving,OK
3,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,204,driving,OK
3,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,1715,driving,OK
3,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,2873,driving,OK
3,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,1135,driving,OK
3,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,984,driving,OK
3,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,969,driving,OK
3,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,3424,driving,OK
3,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,2620,driving,OK
3,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,863,driving,OK
3,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,666,driving,OK
4,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,2561,driving,OK
4,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,2282,driving,OK
4,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,916,driving,OK
4,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,812,driving,OK
4,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,2326,driving,OK
4,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,907,driving,OK
4,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,3317,driving,OK
4,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,2144,driving,OK
4,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,1055,driving,OK
4,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,1769,driving,OK
4,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,2357,driving,OK
4,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,1116,driving,OK
4,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,1116,driving,OK
4,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,2031,driving,OK
4,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,988,driving,OK
4,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,1171,driving,OK
4,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,2259,driving,OK
4,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,2661,driving,OK
4,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,951,driving,OK
4,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,2545,driving,OK
4,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,2169,driving,OK
4,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,2345,driving,OK
4,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,1434,driving,OK
4,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,2388,driving,OK
4,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,1982,driving,OK
4,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,1643,driving,OK
5,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,812,driving,OK
5,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,564,driving,OK
5,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2475,driving,OK
5,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,1594,driving,OK
5,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,523,driving,OK
5,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,1747,driving,OK
5,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,1468,driving,OK
5,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,292,driving,OK
5,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,1886,driving,OK
5,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,527,driving,OK
5,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,847,driving,OK
5,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,2051,driving,OK
5,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,2691,driving,OK
5,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,350,driving,OK
5,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,1838,driving,OK
5,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,3005,driving,OK
5,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,444,driving,OK
5,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,1244,driving,OK
5,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,2565,driving,OK
5,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,1168,driving,OK
5,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,491,driving,OK
5,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,993,driving,OK
5,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,3095,driving,OK
5,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,2838,driving,OK
5,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,531,driving,OK
5,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,507,driving,OK
6,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,2823,driving,OK
6,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,2509,driving,OK
6,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2322,driving,OK
6,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,1945,driving,OK
6,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,2577,driving,OK
6,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,2038,driving,OK
6,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,3310,driving,OK
6,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,2320,driving,OK
6,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,2289,driving,OK
6,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,1743,driving,OK
