Full.Name,Pref.Name,Language.Other.English,Language.Ability.Arabic,Language.Ability.CapeVerdeanCreole,Language.Ability.Chinese.Cantonese,Language.Ability.Chinese.Mandarin,Language.Ability.HaitianCreole,Language.Ability.French,Language.Ability.Nepali,Language.Ability.Polish,Language.Ability.Spanish,Language.Ability.Swahili,Language.Ability.Urdu,Language.Ability.Vietnamese,Language.Ability.Other,Tutoring.Experience,Tutoring.Experience.Months,Tutoring.Experience.ES,Tutoring.Experience.MS,Tutoring.Experience.HS,Teaching.Credential,Tutoring.Preference,Grade.Lvl.Pref.ES,Grade.Lvl.Pref.MS,Grade.Lvl.Pref.HS,Math.Confidence,Travel.Method,Gender,Birth.Date,Race.Ethnicity.African.American.Black,Race.Ethnicity.White.Caucasian,Race.Ethnicity.Asian,Race.Ethnicity.Hispanic.Latino,Race.Ethnicity.Middle.Eastern,Race.Ethnicity.Native.Hawaiian.Pacific.Islander,Race.Ethnicity.American.Indian.Alaskan.Native,Race.Ethnicity.Other,Educational.Attainment,Know.Living,Res.Address.Line.1,Res.Address.Line.2,Res.City,Res.State,Res.Postal.Code,Prior.Rship.Name,Roommates,Roommate.Names1,Roommate.Names2,Roommate.Names3,Roommate.Names4,Roommate.Names5,Manual.Placement
Monica Welch,,No,,,,,,,,,,,,,,No,,,,,,Math,Elementary School,,High School,Algebra II,Public Transportation,Male,9/15/1996,African American/Black,,,,,,,,Bachelor's Degree,No,,,,,,,Yes,Jamar Maxwell,Grace Nguyen,,,,
Antoinette Mcneal,,No,,,,,,,,,,,,,,Yes,5,Elementary School,Middle School,,Yes,Either/No Preference,Elementary School,,High School,Trigonometry,Driving,Male,9/19/1996,African American/Black,,,Hispanic/Latino,,,,,Bachelor's Degree,No,,,,,,,Yes,Mawzoona al-Assaf,Deisha Watts,,,,
Ramalaan el-Lone,,No,,,,,,,,,,,,,,No,,,,,,Math,Elementary School,Middle School,,Algebra II,Public Transportation,Male,5/20/1995,,White/Caucasian,,,,,,,Some College,Yes,,,,,,,Yes,Caleb Ihme,Jaiden Brown,,,,
Jerika Hines,,No,,,,,,,,,,,,,,Yes,8,Elementary School,,High School,Yes,Math,,Middle School,,Algebra II,Public Transportation,Male,4/30/1991,African American/Black,,,,,,,,Bachelor's Degree,Yes,,,,,,,Yes,Kyle Gorman,Christopher Copley,,,,
Kanani Tran,,No,,,,,,,,,,,,,,Yes,6,Elementary School,,,Yes,Math,Elementary School,Middle School,High School,Pre-algebra or lower,Driving,Female,10/17/1994,,,,,,,,Other,High School/GED,Yes,,,,,,,Yes,Mawhiba al-Hasan,Kasandra Vasquez,,,,
Michelle Trang,,Yes,Arabic,,,,,,,,,,,,,Yes,4,,,,No,Math,Elementary School,,,Calculus or higher,Public Transportation,Female,1/1/1995,,White/Caucasian,,,,,,,High School/GED,Yes,,,,,,,Yes,Jessalyn Ortiz,Thanh-Phong Reeves,,,,
Brenda Leyva,,No,,,,,,,,,,,,,,Yes,9,,Middle School,,No,Math,Elementary School,,,Trigonometry,Public Transportation,Male,9/10/1992,,White/Caucasian,,,,,,,High School/GED,No,,,,,,,Yes,Macella Abrams,Scott Werner,,,,
Olivet Taylor,,No,,,,,,,,,,,,,,Yes,7,,,,No,Math,Elementary School,Middle School,,Algebra I,Public Transportation,Female,11/24/1996,,White/Caucasian,,,,,,,Bachelor's Degree,No,,,,,,,Yes,Richard Johnson,Derrick Grohman,,,,
Ashlyn Tolstykh,,Yes,,,,,,,,,,,,,Other,Yes,1,,,,No,Math,Elementary School,,,Pre-algebra or lower,Driving,Female,2/13/1996,,White/Caucasian,,,,,,,Some College,Yes,,,,,,,Yes,Trever Maloney,Fred Bean,,,,
Spring Pena,,No,,,,,,,,,,,,,,Yes,11,,Middle School,High School,No,ELA,,,High School,Calculus or higher,Driving,Transgender Female,5/29/1993,African American/Black,,,,,,,,High School/GED,Yes,,,,,,,Yes,James Swearnger,Vandross Mendoza,,,,
Luis Ruedas,,Yes,,,,,,,,,,,,,,No,,,,,,ELA,Elementary School,Middle School,,Calculus or higher,Driving,Female,12/5/1991,African American/Black,,,,,,,,Bachelor's Degree,Yes,,,,,,,Yes,Jorge Marquez Garcia,,,,,
Ana Jones,,No,,,,,,,,,,,,,,Yes,1,,Middle School,,No,ELA,,Middle School,High School,Algebra I,Public Transportation,Gender Nonconforming (GNC),5/15/1993,,White/Caucasian,,,,,,,High School/GED,No,,,,,,,Yes,Tuyen Aalexis Behera,,,,,
Letisha Rodriguez,,No,,,,,,,,,,,,,,Yes,4,,Middle School,High School,No,Math,Elementary School,Middle School,,Algebra I,Public Transportation,Female,7/1/1993,African American/Black,,,,,,,,Associate's Degree,Yes,,,,,,,Yes,Richard Rogers,,,,,
Tyler Lowry,,No,,,,,,,,,,,,,,No,,,,,,ELA,,,High School,Pre-algebra or lower,Driving,Female,3/4/1996,African American/Black,,,,,,,,Bachelor's Degree,No,,,,,,,Yes,Sang Lee,,,,,
Deljerro Rieb,,No,,,,,,,,,,,,,,Yes,5,,,,No,ELA,,Middle School,High School,Pre-algebra or lower,Bicycling,Female,3/9/1996,,White/Caucasian,,,,,,,Bachelor's Degree,Yes,,,,,,,Yes,Tyamber Laws,,,,,
Julie Bui,,No,,,,,,,,,,,,,,No,,,,,,Math,,Middle School,High School,Calculus or higher,Public Transportation,Transgender Male,8/26/1991,,White/Caucasian,,,,,,,High School/GED,Yes,,,,,,,Yes,Elizabeth Martinez,,,,,
Rif'a al-Aziz,,No,,,,,,,,,,,,,,Yes,3,,,High School,No,ELA,Elementary School,,High School,Algebra II,Public Transportation,Female,1/19/1992,African American/Black,,,,,,,,High School/GED,Yes,,,,,,,Yes,Shelby Vonfeldt,,,,,
Luis Trujillo,,No,,,,,,,,,,,,,,Yes,1,Elementary School,Middle School,High School,No,ELA,Elementary School,,High School,Trigonometry,Driving,Male,9/16/1992,,White/Caucasian,,,,,,,High School/GED,Yes,,,,,,,Yes,Edward Worthington,,,,,
Morgan Marshall,,No,,,,,,,,,,,,,,Yes,9,Elementary School,,,Yes,Math,Elementary School,Middle School,High School,Pre-algebra or lower,Public Transportation,Male,2/1/1994,African American/Black,,,,,,,,Bachelor's Degree,Yes,,,,,,,Yes,Destinie Meyer,,,,,
Haifaaa al-Hoda,,No,,,,,,,,,,,,,,Yes,8,,,,No,ELA,,Middle School,High School,Algebra I,Public Transportation,Female,6/15/1993,African American/Black,,,,,,,,Associate's Degree,Yes,,,,,,,Yes,Tisa Hoffman,,,,,
Pauline Tandon,,No,,,,,,,,,,,,,,Yes,1,,,,No,Either/No Preference,,,High School,Calculus or higher,Bicycling,Female,4/28/1992,,White/Caucasian,,,,,,,Some College,No,,,,,,,Yes,Nuzha al-Mohammed,,,,,
Haajid al-Sadri,,No,,,,,,,,,,,,,,Yes,1,Elementary School,,High School,No,Math,,Middle School,High School,Trigonometry,Driving,Female,8/14/1994,African American/Black,,,,,,,,Some College,Yes,,,,,,,Yes,Aujanay Beals,,,,,
