"","placement","Manual.Placement","acm_id","Math.Confidence","Ed_HS","Ed_SomeCol","Ed_Col","HasTutored","SpanishAble","Lang_Other","Male","Other.Gender","Race.Ethnicity.Hispanic","Race.Ethnicity.Asian","Race.Ethnicity.White","Race.Ethnicity.Black","Birth.Date","days_old","Manual.Placement_id","School","size","span","% Hispanic","HSGrad_tgt","SomeCol_tgt","TutExp","SpanishNeed","OtherLang_tgt","Math_tgt","Male_tgt"
"1",1,"107th Street Elementary School","306",1,0,0,1,0,0,0,0,0,0,0,0,1,"11/18/1993",8604,1,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"2",1,"107th Street Elementary School","310",0,0,0,1,0,0,0,0,0,0,0,0,0,"01/17/1994",8544,1,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"3",1,NA,"9032",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"4",1,NA,"40",0,0,0,1,0,0,0,0,0,1,0,0,0,"03/12/1994",8490,NA,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"5",1,NA,"2",1,0,0,1,0,0,0,1,0,0,0,0,0,"12/25/1994",8202,NA,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"6",1,NA,"116",0,0,0,1,0,0,0,1,0,0,0,0,1,"10/16/1993",8637,NA,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"7",1,NA,"367",1,0,0,1,0,0,0,0,0,1,0,0,0,"11/10/1994",8247,NA,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"8",1,NA,"6",1,0,0,1,0,1,0,0,0,0,0,0,0,"05/14/1994",8427,NA,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"9",1,NA,"9045",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"10",1,NA,"73",0,0,0,1,0,0,0,0,0,1,0,0,0,"07/15/1993",8730,NA,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"11",1,NA,"22",0,0,0,1,0,0,0,0,0,0,0,0,1,"09/19/1995",7934,NA,"107th Street Elementary School","11","Elementary",0.880733944954128,0.547511312217195,0.597285067873303,0.647058823529412,2.44461224978395,0.547511312217195,3.85746606334842,2.68778280542986
"12",2,NA,"41",0,0,1,0,0,0,0,0,0,0,0,0,0,"03/08/1994",8494,NA,"109th Street ES","6","Elementary",0.822916666666666,0.298642533936652,0.32579185520362,0.352941176470588,1.83657103079438,0.298642533936652,2.10407239819004,1.46606334841629
"13",2,NA,"16",1,0,0,1,0,0,0,1,0,0,1,0,0,"01/10/1995",8186,NA,"109th Street ES","6","Elementary",0.822916666666666,0.298642533936652,0.32579185520362,0.352941176470588,1.83657103079438,0.298642533936652,2.10407239819004,1.46606334841629
"14",2,NA,"9028",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"109th Street ES","6","Elementary",0.822916666666666,0.298642533936652,0.32579185520362,0.352941176470588,1.83657103079438,0.298642533936652,2.10407239819004,1.46606334841629
"15",2,NA,"169",1,0,0,1,0,1,0,0,0,1,0,0,0,"03/29/1995",8108,NA,"109th Street ES","6","Elementary",0.822916666666666,0.298642533936652,0.32579185520362,0.352941176470588,1.83657103079438,0.298642533936652,2.10407239819004,1.46606334841629
"16",2,NA,"67",0,0,0,1,0,0,0,0,0,0,0,0,1,"01/22/1995",8174,NA,"109th Street ES","6","Elementary",0.822916666666666,0.298642533936652,0.32579185520362,0.352941176470588,1.83657103079438,0.298642533936652,2.10407239819004,1.46606334841629
"17",2,NA,"136",1,1,0,0,0,0,0,0,0,0,0,1,0,"10/31/1996",7526,NA,"109th Street ES","6","Elementary",0.822916666666666,0.298642533936652,0.32579185520362,0.352941176470588,1.83657103079438,0.298642533936652,2.10407239819004,1.46606334841629
"18",3,"122nd Street Elementary School","320",1,0,0,1,1,1,0,0,0,1,0,0,0,"05/25/1992",9146,3,"122nd Street Elementary School","9","Elementary",0.80952380952381,0.447963800904977,0.48868778280543,0.529411764705882,1.65461789725629,0.447963800904977,3.15610859728507,2.19909502262443
"19",3,NA,"126",0,0,0,1,0,0,0,0,0,0,0,0,0,"04/21/1995",8085,NA,"122nd Street Elementary School","9","Elementary",0.80952380952381,0.447963800904977,0.48868778280543,0.529411764705882,1.65461789725629,0.447963800904977,3.15610859728507,2.19909502262443
"20",3,NA,"141",1,0,0,1,0,0,0,0,0,0,0,0,1,"05/28/1995",8048,NA,"122nd Street Elementary School","9","Elementary",0.80952380952381,0.447963800904977,0.48868778280543,0.529411764705882,1.65461789725629,0.447963800904977,3.15610859728507,2.19909502262443
"21",3,NA,"177",1,0,0,1,0,0,0,1,0,0,0,0,0,"02/07/1993",8888,NA,"122nd Street Elementary School","9","Elementary",0.80952380952381,0.447963800904977,0.48868778280543,0.529411764705882,1.65461789725629,0.447963800904977,3.15610859728507,2.19909502262443
"22",3,NA,"117",0,0,1,0,0,0,0,0,0,0,0,0,1,"03/31/1993",8836,NA,"122nd Street Elementary School","9","Elementary",0.80952380952381,0.447963800904977,0.48868778280543,0.529411764705882,1.65461789725629,0.447963800904977,3.15610859728507,2.19909502262443
"23",3,NA,"82",1,0,0,1,0,1,0,0,0,1,0,0,0,"06/27/1994",8383,NA,"122nd Street Elementary School","9","Elementary",0.80952380952381,0.447963800904977,0.48868778280543,0.529411764705882,1.65461789725629,0.447963800904977,3.15610859728507,2.19909502262443
"24",3,NA,"9046",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"122nd Street Elementary School","9","Elementary",0.80952380952381,0.447963800904977,0.48868778280543,0.529411764705882,1.65461789725629,0.447963800904977,3.15610859728507,2.19909502262443
"25",3,NA,"9022",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"122nd Street Elementary School","9","Elementary",0.80952380952381,0.447963800904977,0.48868778280543,0.529411764705882,1.65461789725629,0.447963800904977,3.15610859728507,2.19909502262443
"26",3,NA,"8",0,0,0,1,0,0,0,0,0,0,1,0,0,"07/14/1995",8001,NA,"122nd Street Elementary School","9","Elementary",0.80952380952381,0.447963800904977,0.48868778280543,0.529411764705882,1.65461789725629,0.447963800904977,3.15610859728507,2.19909502262443
"27",4,NA,"373",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"93rd Street ES","12","Elementary",0.874074074074074,0.597285067873303,0.65158371040724,0.705882352941176,2.38539610102529,0.597285067873303,4.20814479638009,2.93212669683258
