"","placement","Manual.Placement","acm_id","Math.Confidence","Ed_HS","Ed_SomeCol","Ed_Col","HasTutored","SpanishAble","Lang_Other","Male","Other.Gender","Race.Ethnicity.Hispanic","Race.Ethnicity.Asian","Race.Ethnicity.White","Race.Ethnicity.Black","Birth.Date","days_old","Manual.Placement_id","School","size","span","% Hispanic","Address","nhood","HSGrad_tgt","SomeCol_tgt","TutExp","SpanishNeed","OtherLang_tgt","Math_tgt","Male_tgt","AA_tgt","acm_dest_id","time"
"1",1,"107th Street Elementary School","310",0,0,0,1,0,0,0,0,0,0,0,0,0,"01/17/1994",8548,1,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"310 - 1",0
"2",1,"107th Street Elementary School","365",1,0,0,1,1,0,0,0,0,0,0,0,0,"05/28/1994",8417,1,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"365 - 1",0
"3",1,"107th Street Elementary School","306",1,0,0,1,0,0,0,0,0,0,0,0,1,"11/18/1993",8608,1,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"306 - 1",0
"4",1,NA,"9011",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"9011 - 1",0
"5",1,NA,"381",0,0,0,1,0,0,0,0,0,0,0,0,0,"07/12/1995",8007,NA,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"381 - 1",0
"6",1,NA,"75",1,0,1,0,0,0,0,1,0,0,0,1,0,"01/11/1997",7458,NA,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"75 - 1",0
"7",1,NA,"3",1,0,0,1,0,1,0,0,0,1,0,0,0,"09/05/1995",7952,NA,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"3 - 1",24.8166666666667
"8",1,NA,"177",1,0,0,1,0,0,0,1,0,0,0,0,0,"02/07/1993",8892,NA,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"177 - 1",0
"9",1,NA,"86",1,0,0,1,0,0,1,1,0,0,1,0,0,"09/21/1991",9397,NA,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"86 - 1",0
"10",1,NA,"391",0,0,0,1,0,0,0,0,0,1,0,0,0,"01/09/1995",8191,NA,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"391 - 1",0
"11",1,NA,"160",1,0,0,1,0,0,0,0,0,0,0,1,0,"11/30/1995",7866,NA,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003","W",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899,1,"160 - 1",16.7833333333333
"12",2,NA,"401",0,0,0,1,0,0,0,0,0,0,1,0,0,"07/13/1993",8736,NA,"109th Street ES",6,"Elementary",0.822916666666666,"10915 S. Mc Kinley Ave., Los Angeles, CA 90059","W",0.255813953488372,0.348837209302326,0.348837209302326,1.83657103079438,0.255813953488372,1.81395348837209,1.37209302325581,1,"401 - 2",0
"13",2,NA,"145",1,0,0,1,0,0,1,0,0,0,0,0,1,"03/02/1993",8869,NA,"109th Street ES",6,"Elementary",0.822916666666666,"10915 S. Mc Kinley Ave., Los Angeles, CA 90059","W",0.255813953488372,0.348837209302326,0.348837209302326,1.83657103079438,0.255813953488372,1.81395348837209,1.37209302325581,1,"145 - 2",0
"14",2,"109th Street ES","368",1,0,0,1,0,1,0,0,0,1,0,0,0,"08/17/1993",8701,2,"109th Street ES",6,"Elementary",0.822916666666666,"10915 S. Mc Kinley Ave., Los Angeles, CA 90059","W",0.255813953488372,0.348837209302326,0.348837209302326,1.83657103079438,0.255813953488372,1.81395348837209,1.37209302325581,1,"368 - 2",0
"15",2,NA,"157",1,0,0,1,0,0,0,0,0,0,0,1,0,"05/23/1995",8057,NA,"109th Street ES",6,"Elementary",0.822916666666666,"10915 S. Mc Kinley Ave., Los Angeles, CA 90059","W",0.255813953488372,0.348837209302326,0.348837209302326,1.83657103079438,0.255813953488372,1.81395348837209,1.37209302325581,1,"157 - 2",0
"16",2,NA,"51",0,0,0,1,0,0,0,1,0,0,0,0,1,"05/27/1993",8783,NA,"109th Street ES",6,"Elementary",0.822916666666666,"10915 S. Mc Kinley Ave., Los Angeles, CA 90059","W",0.255813953488372,0.348837209302326,0.348837209302326,1.83657103079438,0.255813953488372,1.81395348837209,1.37209302325581,1,"51 - 2",0
"17",2,NA,"156",1,0,0,1,0,1,0,0,0,0,0,0,1,"09/28/1995",7929,NA,"109th Street ES",6,"Elementary",0.822916666666666,"10915 S. Mc Kinley Ave., Los Angeles, CA 90059","W",0.255813953488372,0.348837209302326,0.348837209302326,1.83657103079438,0.255813953488372,1.81395348837209,1.37209302325581,1,"156 - 2",0
