acm_id,Date Submitted,City,State/Region,Full name:,"If applicable, preferred name(s): ",What is your date of birth?,"City Year Site:What site will you serve with, and did you attend a City Year school at that site? (choose from the list of schools)","School:What site will you serve with, and did you attend a City Year school at that site? (choose from the list of schools)",What gender do you identify with?,African American/Black:What is your race/ethnicity (choose all that apply),American Indian/Alaskan Native:What is your race/ethnicity (choose all that apply),Asian:What is your race/ethnicity (choose all that apply),Hispanic/Latino:What is your race/ethnicity (choose all that apply),Middle Eastern:What is your race/ethnicity (choose all that apply),Native Hawaiian or Pacific Islander:What is your race/ethnicity (choose all that apply),White/Caucasian:What is your race/ethnicity (choose all that apply),Other - Write In:What is your race/ethnicity (choose all that apply),What is the highest level of education you have achieved?,Other - Write In:What is the highest level of education you have achieved?,Are you able to tutor and mentor students while speaking a language other than English?,Arabic:Other language ,Cape Verdean Creole :Other language ,Chinese (Cantonese):Other language ,Chinese (Mandarin):Other language ,Haitian Creole:Other language ,French:Other language ,Nepali:Other language ,Polish:Other language ,Spanish:Other language ,Swahili:Other language ,Urdu:Other language ,Vietnamese:Other language ,Other - Write In (Required):Other language ,Do you have teaching or tutoring experience?,Months Teaching,Elementary school (K-5):What grade level(s) have you worked with in the past? Please select all that apply.,Middle school (6-8):What grade level(s) have you worked with in the past? Please select all that apply.,High school (9-12):What grade level(s) have you worked with in the past? Please select all that apply.,Do you have a teaching credential?,Elementary school:Which grade levels would you prefer to work with?,Middle school:Which grade levels would you prefer to work with?,High school:Which grade levels would you prefer to work with?,Would you prefer to support with ELA/literacy or math?,Please indicate the highest level of math in which you are confident in your skills.,Do you know where you will be living during the 2017-2018 school year?,Street address Line 1:SYAddress,Street address line 2:SYAddress,City:SYAddress,State:SYAddress,Zip:SYAddress,Will you be living with other City Year AmeriCorps members during the school year?:SYAddress,Roommate.Names1,Roommate.Names2,Roommate.Names3,Roommate.Names4,How will you travel to your school site?,Manual.Placement
1,,,,Monica Welch,,10/9/1996,Chicago,Kozminski Elementary Community Academy,Female,,,,,,,White/Caucasian,,Associate's Degree,,No,,,,,,,,,,,,,,Yes,5,,Middle School,High School,No,Elementary School,Middle School,High School,ELA,Algebra I,Yes,6560 S Stony Island Ave,Chicago,IL,60637,,Yes,Antoinette Mcneal,Ramalaan el-Lone,NA,NA,Driving,
2,,,,Antoinette Mcneal,,11/7/1996,Chicago,Myra Bradwell School of Excellence,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,,High School,ELA,Pre-algebra or lower,No,7900 S Martin Luther King Dr,Chicago,IL,60619,,Yes,Monica Welch,Ramalaan el-Lone,NA,NA,Driving,
3,,,,Ramalaan el-Lone,,8/23/1992,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),,,,,,,White/Caucasian,,Some College,Alice. It looked.,Yes,,,,,,,,,,,,,,Yes,5,,,High School,No,,Middle School,High School,Math,Algebra II,No,5200 S Lake Park Ave,Chicago,IL,60615,,No,NA,NA,NA,NA,Driving,
4,,,,Jerika Hines,,2/2/1993,Chicago,Curtis School of Excellence,Male,,,,,,,White/Caucasian,,Some College,,No,,,,,,,,,,,,,,No,,,,,,,Middle School,High School,Either/No Preference,Algebra I,No,70 E Garfield Blvd,Chicago,IL,60615,,Yes,Brenda Leyva,NA,NA,NA,Public Transportation,
5,,,,Kanani Tran,,7/29/1996,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,,,Bachelor's Degree,And he got up and.,No,,,,,,,,,,,,,,Yes,1,Elementary School,Middle School,,No,,,High School,Either/No Preference,Algebra II,No,6560 S Stony Island Ave,Chicago,IL,60637,,Yes,Pauline Tandon,NA,NA,NA,Driving,
6,,,,Michelle Trang,,2/6/1993,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,,,,ELA,Algebra II,No,7900 S Martin Luther King Dr,Chicago,IL,60619,,No,NA,NA,NA,NA,Driving,
7,,,,Brenda Leyva,,11/24/1991,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,1,,,,Yes,Elementary School,,,Math,Algebra II,Yes,5200 S Lake Park Ave,Chicago,IL,60615,,No,NA,NA,NA,NA,Bicycling,
8,,,,Olivet Taylor,,8/9/1993,Chicago,I did not attend a City Year school,Transgender Female,,,,,,,White/Caucasian,,Associate's Degree,But her sister kissed.,No,,,,,,,,,,,,,,Yes,3,,Middle School,,No,,,High School,ELA,Algebra I,No,70 E Garfield Blvd,Chicago,IL,60615,,No,NA,NA,NA,NA,Driving,
9,,,,Ashlyn Tolstykh,,9/13/1992,Chicago,I did not attend a City Year school,Female,African American/Black,,,Hispanic/Latino,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,1,Elementary School,Middle School,,No,Elementary School,Middle School,,ELA,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Driving,
10,,,,Spring Pena,,2/6/1994,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,Middle School,High School,ELA,Trigonometry,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
11,,,,Luis Ruedas,,10/25/1993,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,White/Caucasian,,Some College,,No,,,,,,,,,,,,,,Yes,9,Elementary School,,High School,No,Elementary School,Middle School,High School,Math,Trigonometry,Yes,,,,,,No,NA,NA,NA,NA,Driving,
12,,,,Ana Jones,,8/8/1994,Chicago,I did not attend a City Year school,Transgender Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,5,,Middle School,,No,Elementary School,Middle School,High School,ELA,Trigonometry,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
13,,,,Letisha Rodriguez,,12/31/1992,Chicago,Myra Bradwell School of Excellence,Male,,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,Middle School,,ELA,Algebra I,No,,,,,,No,NA,NA,NA,NA,Bicycling,
14,,,,Tyler Lowry,,2/8/1996,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,3,,Middle School,High School,No,Elementary School,,,ELA,Calculus or higher,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
15,,,,Deljerro Rieb,,6/4/1994,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),African American/Black,,,,,,,,High School/GED,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,,High School,Math,Calculus or higher,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
